Month , RAM_Type,Price_USD
2024-08,DDR4-3600 2x16GB,80
2024-09,DDR4-3600 2x16GB,82
2024-11,DDR4-3600 2x16GB,88
2024-10,DDR4-3600 2x16GB,75
2024-12,DDR4-3600 2x16GB,73
2025-01,DDR4-3600 2x16GB,78
2025-02,DDR4-3600 2x16GB,78
2025-03,DDR4-3600 2x16GB,78
2025-04,DDR4-3600 2x16GB,82
2025-05,DDR4-3600 2x16GB,83
2025-06,DDR4-3600 2x16GB,125
2025-07,DDR4-3600 2x16GB,130
2025-08,DDR4-3600 2x16GB,130
2025-09,DDR4-3600 2x16GB,128
2025-10,DDR4-3600 2x16GB,170
2025-11,DDR4-3600 2x16GB,195
2025-12,DDR4-3600 2x16GB,240
2024-08,DDR4-3600 2x32GB,160
2024-09,DDR4-3600 2x32GB,155
2024-10,DDR4-3600 2x32GB,154
2024-11,DDR4-3600 2x32GB,153
2024-12,DDR4-3600 2x32GB,185
2025-01,DDR4-3600 2x32GB,186
2025-02,DDR4-3600 2x32GB,160
2025-03,DDR4-3600 2x32GB,160
2025-04,DDR4-3600 2x32GB,165
2025-05,DDR4-3600 2x32GB,165
2025-06,DDR4-3600 2x32GB,225
2025-07,DDR4-3600 2x32GB,232
2025-08,DDR4-3600 2x32GB,280
2025-09,DDR4-3600 2x32GB,300
2025-10,DDR4-3600 2x32GB,350
2025-11,DDR4-3600 2x32GB,415
2025-12,DDR4-3600 2x32GB,500
2024-08,DDR5-5600 2x16GB,120
2024-09,DDR5-5600 2x16GB,120
2024-10,DDR5-5600 2x16GB,110
2024-11,DDR5-5600 2x16GB,110
2024-12,DDR5-5600 2x16GB,110
2025-01,DDR5-5600 2x16GB,110
2025-02,DDR5-5600 2x16GB,110
2025-03,DDR5-5600 2x16GB,110
2025-04,DDR5-5600 2x16GB,115
2025-05,DDR5-5600 2x16GB,115
2025-06,DDR5-5600 2x16GB,115
2025-07,DDR5-5600 2x16GB,115
2025-08,DDR5-5600 2x16GB,120
2025-09,DDR5-5600 2x16GB,125
2025-10,DDR5-5600 2x16GB,200
2025-11,DDR5-5600 2x16GB,350
2025-12,DDR5-5600 2x16GB,400
2024-08,DDR5-5600 2x32GB,200
2024-09,DDR5-5600 2x32GB,200
2024-10,DDR5-5600 2x32GB,200
2024-11,DDR5-5600 2x32GB,195
2024-12,DDR5-5600 2x32GB,195
2025-01,DDR5-5600 2x32GB,195
2025-02,DDR5-5600 2x32GB,195
2025-03,DDR5-5600 2x32GB,198
2025-04,DDR5-5600 2x32GB,210
2025-05,DDR5-5600 2x32GB,210
2025-06,DDR5-5600 2x32GB,215
2025-07,DDR5-5600 2x32GB,218
2025-08,DDR5-5600 2x32GB,230
2025-09,DDR5-5600 2x32GB,280
2025-10,DDR5-5600 2x32GB,680
2025-11,DDR5-5600 2x32GB,750
2025-12,DDR5-5600 2x32GB,800
2024-08,DDR5-6000 2x16GB,120
2024-09,DDR5-6000 2x16GB,120
2024-10,DDR5-6000 2x16GB,110
2024-11,DDR5-6000 2x16GB,110
2024-12,DDR5-6000 2x16GB,110
2025-01,DDR5-6000 2x16GB,110
2025-02,DDR5-6000 2x16GB,105
2025-03,DDR5-6000 2x16GB,105
2025-04,DDR5-6000 2x16GB,110
2025-05,DDR5-6000 2x16GB,107
2025-06,DDR5-6000 2x16GB,110
2025-07,DDR5-6000 2x16GB,110
2025-08,DDR5-6000 2x16GB,112
2025-09,DDR5-6000 2x16GB,210
2025-10,DDR5-6000 2x16GB,380
2025-11,DDR5-6000 2x16GB,460
2025-12,DDR5-6000 2x16GB,480
2024-08,DDR5-6000 2x32GB,210
2024-09,DDR5-6000 2x32GB,220
2024-10,DDR5-6000 2x32GB,220
2024-11,DDR5-6000 2x32GB,210
2024-12,DDR5-6000 2x32GB,210
2025-01,DDR5-6000 2x32GB,210
2025-02,DDR5-6000 2x32GB,210
2025-03,DDR5-6000 2x32GB,215
2025-04,DDR5-6000 2x32GB,215
2025-05,DDR5-6000 2x32GB,235
2025-06,DDR5-6000 2x32GB,235
2025-07,DDR5-6000 2x32GB,240
2025-08,DDR5-6000 2x32GB,240
2025-09,DDR5-6000 2x32GB,280
2025-10,DDR5-6000 2x32GB,420
2025-11,DDR5-6000 2x32GB,780
2025-12,DDR5-6000 2x32GB,900
